Year,Winner,Sire,Dam,2nd Pl,3rd Pl,Time,Dist,Track Cond,High,Low,24-Hour Precipitation,1pm-7pm Precipitation,Weather
1935,Omaha,Gallant Fox,Flambino,Roman Soldier,Whiskolo,02:05.0,10 F,Fast,47,40,"0.14""","0.10""",Cloudy
1934,Cavalcade,Lancegaye,Hastily,Discovery,Agrarian,02:04.0,10 F,Fast,76,65,"0.04""",0,Partly Cloudy
1933,Brokers Tip,Black Toney,Forteresse,Head Play,Charley O,02:06.8,10 F,Good,59,53,"0.09""",0,Partly Cloudy
1932,Burgoo King,Bubbling Over,Minawand,Economic,Stepenfetchit,02:05.2,10 F,Fast,83,68,0,0,Partly Cloudy
1931,Twenty Grand,St Germans,Bonus,Sweep All,Mate,02:01.8,10 F,Fast,84,61,0,0,Partly Cloudy
1930,Gallant Fox,Sir Gallahad,Marguerite,Gallant Knight,Ned O,02:07.6,10 F,Good,69,59,"0.11""","0.11""",Cloudy
1929,Clyde Van Dusen,Man O War,Uncles Lassie,Naishapur,Panchio,02:10.8,10 F,Muddy,77,54,"1.19""","0.66""",Thunderstorms
1928,Reigh Count,Sunreigh,Contessina,Misstep,Toro,02:10.4,10 F,Heavy,75,61,"0.62""","0.39""",Thunderstorms
1927,Whiskery,Whisk Broom,Prudery,Osmand,Jock2,02:06.0,10 F,Slow,64,49,"0.35""","0.22""",Thunderstorms
1926,Bubbling Over,North Star,Beaming Beauty,Bagenbaggage,Rock Man,02:03.8,10 F,Fast,64,46,Trace,0,Partly Cloudy
1925,Flying Ebony,The Finn,Princess Mary,Captain Hal,Son Of John,02:07.6,10 F,Sloppy,86,60,"0.14""","0.12""",Thunderstorms
1924,Black Gold,Black Toney,Useeit,Chilhowee,Beau Butler,02:05.2,10 F,Fast,74,55,0,0,Partly Cloudy
1923,Zev,The Finn,Miss Kearney,Martingale5,Vigil,02:05.4,10 F,Fast,85,60,0,0,Partly Cloudy
1922,Morvich,Runnymede,Hymir,Bet Mosie,John Finn,02:04.6,10 F,Fast,77,64,0,0,Clear
1921,Behave Yourself,Marathon,Miss Ringlets,Black Servant,Prudery,02:04.2,10 F,Fast,73,48,0,0,Clear
1920,Paul Jones,Sea King,May Florence,Upset,On Watch,02:09.0,10 F,Slow,72,53,0,0,Clear
1919,Sir Barton,Star Shoot,Lady Sterling,Billy Kelly,Under Fire,02:09.8,10 F,Heavy,57,48,"0.09""",0,Cloudy
1918,Exterminator,Mcgee,Fair Empress,Escoba,Viva America,02:10.8,10 F,Muddy,68,49,"2.31""","1.00""",Thunderstorms
1917,Omar Khayyam,Marco,Lisma,Ticket,Midway,02:04.6,10 F,Fast,60,40,0,0,Cloudy
1916,George Smith,Out Of Reach,Consuelo,Star Hawk,Franklin,02:04.0,10 F,Fast,83,54,Trace,0,Partly Cloudy
1915,Regret,Broomstick,Jersey Lightning,Pebbles6,Sharpshooter,02:05.4,10 F,Fast,71,51,Trace,Trace,Clear
1914,Old Rosebud,Uncle,Ivory Bells,Hodge,Bronzewing,02:03.4,10 F,Fast,72,49,0,0,Clear
1913,Donerail,Mcgee,Algie M,Ten Point,Gowell,02:04.8,10 F,Fast,61,46,0,0,Clear
1912,Worth,Knight Of The Thistle,Miss Hanover,Duval,Flamma2,02:09.4,10 F,Muddy,77,60,"1.04""","0.45""",Cloudy
1911,Meridian,Broomstick,Sue Smith,Governor Gray,Colston,02:05.0,10 F,Fast,82,60,0,0,Clear
1910,Donau,Woolsthorpe,Al Lone,Joe Morris,Fighting Bob,02:06.4,10 F,Fast,82,61,0,0,Clear
1909,Wintergreen,Dick Welles,Winter,Miami,Dr Barkley,02:08.2,10 F,Slow,57,43,"0.21""",Trace,Cloudy
1908,Stone Street,Longstreet,Stone Nellie,Sir Cleges,Dunvegan3,02:15.2,10 F,Heavy,72,52,"0.72""",0,Thunderstorms
1907,Pink Star,Pink Coat,Mary Malloy,Zal,Ovelando,02:12.6,10 F,Heavy,67,56,"0.67""",0,Cloudy
1906,Sir Huon,Falsetto,Ignite,Lady Navarre,James Reddick,02:08.8,10 F,Fast,83,63,"0.25""","0.24""", Thunderstorms
1905,Agile,Sir Dixon,Alpena,Rams Horn,Layson,02:10.8,10 F,Heavy,89,63,"0.58""",0,Thunderstorms
1904,Elwood,Free Knight,Petticoat,Ed Tierney,Brancas,02:08.5,10 F,Fast,73,55,0,0,Partly Cloudy
1903,Judge Himes,Esher,Lullaby,Early6,Bourbon9,02:09.0,10 F,Fast,74,40,0,0,Clear
1902,Alan-A-Dale,Halma,Sudie Mcnairy,Inventor,The Rival,02:08.8,10 F,Fast,89,65,0,0,Clear
1901,His Eminence,Falsetto,Patroness,Sannazarro,Driscoll,02:07.8,10 F,Fast,83,52,0,0,Clear
1900,Lieut Gibson,G W Johnson,Sophia Hardy,Florizar,Thrive,02:06.2,10 F,Fast,66,46,0,0,Partly Cloudy
1899,Manuel,Bob Miles,Espanita,Corsini2,Mazo,02:12.0,10 F,Fast,80,60,Trace,Trace,Cloudy
1898,Plaudit,Himyar,Cinderella2,Lieber Karl,Isabey,02:09.0,10 F,Good,62,57,"0.35""","0.35""",Cloudy
1897,Typhoon,Top Gallant,Dolly Varden,Ornament2,Dr Catlett,02:12.5,10 F,Heavy,76,61,"0.82""",0,Cloudy
1896,Ben Brush,Bramble,Roseville,Ben Eder,Semper Ego,02:07.8,10 F,Very Dusty,84,60,0,0,Clear
1895,Halma,Hanover,Julia L,Basso,Laureate7,02:37.5,12 F,Fast,82,66,0,0,Partly Cloudy
1894,Chant,Falsetto,Addie C,Pearl Song,Sigurd2,02:41.0,12 F,Fast,87,66,"0.04""","0.04""",Partly Cloudy
1893,Lookout,Troubadour,Christina,Plutus,Boundless,02:39.3,12 F,Fast,79,54,0,0,Clear
1892,Azra,Reform,Albia,Huron,Phil Dwyer,02:41.5,12 F,Heavy,55,51,Trace,Trace,Cloudy
1891,Kingman,Glengarry,Patricia,Balgowan,High Tariff,02:52.3,12 F,Slow,71,53,0,0,Cloudy
1890,Riley,Longfellow,Geneva,Bill Letcher,Robespierre,02:45.0,12 F,Muddy,63,54,"0.31""",0,Cloudy
1889,Spokane,Hyder Ali,Interpose,Proctor Knott,Once Again,02:34.5,12 F,Fast,90,66,0,0,Partly Cloudy
1888,Macbeth,Macduff,Agnes,Gallifet,White,02:38.0,12 F,Fast,56,42,0,0,Cloudy
1887,Montrose,Duke Of Montrose,Patti,Jim Gore,Jacobin,02:39.3,12 F,Fast,79,59,Trace,Trace,Partly Cloudy
1886,Ben Ali,Virgil,Ulrica,Blue Wing,Free Knight,02:36.5,12 F,Fast,85,72,0,0,Partly Cloudy
1885,Joe Cotton,King Alfonso,Inverness,Bersan,Ten Booker,02:37.3,12 F,Good,73,50,0,0,Partly Cloudy
1884,Buchanan,Buckden,Mrs Grigsby,Loftin,Audrain,02:40.3,12 F,Good,68,55,0,0,Clear
1883,Leonatus,Longfellow,Semper Felix,Drake Carter,Lord Raglan,02:43.0,12 F,Heavy,67,44,0,0,Clear
1882,Apollo,Lever,Rebecca T Price,Runnymede,Bengal6,02:40.0,12 F,Good,63,44,0,0,Clear
1881,Hindoo,Virgil,Florence,Lelex,Alfambra,02:40.0,12 F,Fast,75,55,0,0,Clear
1880,Fonso,King Alfonso,Weatherwitch,Kimball2,Bancroft,02:37.5,12 F,Very Dusty,86,62,0,0,Clear
1879,Lord Murphy,Pat Malloy,Wenonah,Falsetto,Strathmore,02:37.0,12 F,Fast,90,63,0,0,Clear
1878,Day Star,Star Davis,Squeeze-Em,Himyar,Leveller,02:37.3,12 F,Dusty,76,64,0,0,Clear
1877,Baden-Baden,Australian,Lavender,Leonard,King William,02:38.0,12 F,Fast, 81, 63,0,0, Clear
1876,Vagrant,Virgil,Lazy,Creedmoor,Harry Hill,02:38.3,12 F,Fast,86,65,0,0,Partly Cloudy
1875,Aristides,Leamington,Sarong,Volcano,Verdigris5,02:37.7,12 F,Fast,68,46,0,0,Clear
